player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Sicc-Grobbulus,9/30/20,22:15:59,1601536559-22,[Bracers of Arcane Accuracy],19374,item:19374::::::::60,PVP,2,MAGE,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,|cffa335ee|Hitem:16918::::::::60:::::::|h[Netherwind Bindings]|h|r,,3,false,Cloth,Wrist,,Estaris-Grobbulus
Ismaela-Grobbulus,9/30/20,22:18:43,1601536723-26,[Rejuvenating Gem],19395,item:19395::::::::60,Best in Slot,1,PALADIN,Blackwing Lair-40 Player,Ebonroc,9,469,40,|cff0070dd|Hitem:12930::::::::60:::1::::|h[Briarwood Reed]|h|r,|cffa335ee|Hitem:19343::::::::60:::::::|h[Scrolls of Blinding Light]|h|r,1,false,Miscellaneous,Trinket,,Estaris-Grobbulus
Faithfortis-Grobbulus,9/30/20,23:59:57,1601542797-55,[Blastershot Launcher],17072,item:17072::::::::60,Upgrade,0,WARRIOR,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:20038::::::::60:::::::|h[Mandokir's Sting]|h|r,,2,false,Guns,,,Estaris-Grobbulus
Parabella-Grobbulus,9/30/20,23:57:20,1601542640-38,[Nightslayer Cover],16821,item:16821::::::::60,Offspec,0,ROGUE,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:21360::::::::60:::11::::|h[Deathdealer's Helm]|h|r,,4,false,Leather,Head,fr set?,Estaris-Grobbulus
Catzby-Grobbulus,9/30/20,22:20:37,1601536837-28,[Dragonstalker's Belt],16936,item:16936::::::::60,Best in Slot,3,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16851::::::::60:::::::|h[Giantstalker's Belt]|h|r,,1,false,Mail,Waist,,Estaris-Grobbulus
Effective-Grobbulus,9/30/20,22:15:39,1601536539-19,[Chromatic Boots],19387,item:19387::::::::60,Best in Slot,0,WARRIOR,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:16483:911:::::::60:::14::::|h[Marshal's Plate Boots]|h|r,,1,false,Plate,Feet,,Estaris-Grobbulus
Retributus-Grobbulus,9/30/20,23:59:01,1601542741-52,[Heavy Dark Iron Ring],18879,item:18879::::::::60,Offspec,2,PALADIN,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:19140::::::::60:::::::|h[Cauterizing Band]|h|r,|cffa335ee|Hitem:19140::::::::60:::::::|h[Cauterizing Band]|h|r,4,false,Miscellaneous,Finger,,Estaris-Grobbulus
Ramzergutzin-Grobbulus,9/30/20,22:15:25,1601536525-17,[Emberweave Leggings],19433,item:19433::::::::60,Offspec,1,WARRIOR,Blackwing Lair-40 Player,Flamegor,9,469,40,|cffa335ee|Hitem:22385:1506:::::::60:::::::|h[Titanic Leggings]|h|r,,4,false,Mail,Legs,fire resist set,Estaris-Grobbulus
Ramzergutzin-Grobbulus,9/30/20,22:17:26,1601536646-25,[Cloak of Draconic Might],19436,item:19436::::::::60,Upgrade,0,WARRIOR,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,|cff0070dd|Hitem:15138:1888:::::::60:::::::|h[Onyxia Scale Cloak]|h|r,,2,false,Cloth,Back,,Estaris-Grobbulus
Saeros-Grobbulus,9/30/20,22:16:06,1601536566-23,[Cloak of Firemaw],19398,item:19398::::::::60,Best in Slot,3,ROGUE,Blackwing Lair-40 Player,Firemaw,9,469,40,|cff0070dd|Hitem:15138:2463:::::::60:::::::|h[Onyxia Scale Cloak]|h|r,,1,false,Cloth,Back,,Estaris-Grobbulus
Fireopal-Grobbulus,9/30/20,22:14:28,1601536468-15,[Therazane's Link],19380,item:19380::::::::60,Upgrade,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16851::::::::60:::::::|h[Giantstalker's Belt]|h|r,,2,false,Mail,Waist,,Nefarian
Fireopal-Grobbulus,9/30/20,22:14:33,1601536473-16,[Doom's Edge],19362,item:19362::::::::60,Upgrade,1,HUNTER,Blackwing Lair-40 Player,Firemaw,9,469,40,|cffa335ee|Hitem:19859:2564:::::::60:::::::|h[Fang of the Faceless]|h|r,|cff0070dd|Hitem:18737::::::::60:::1::::|h[Bone Slicing Hatchet]|h|r,2,false,One-Handed Axes,One-Hand,,Estaris-Grobbulus
Beltran-Grobbulus,9/30/20,23:57:39,1601542659-39,[Fireguard Shoulders],19139,item:19139::::::::60,Offspec,1,HUNTER,Molten Core-40 Player,Majordomo Executus,9,409,40,|cffa335ee|Hitem:16937:2606:::::::60:::::::|h[Dragonstalker's Spaulders]|h|r,,4,false,Leather,Shoulder,,Estaris-Grobbulus
ðëv-Grobbulus,9/30/20,22:13:34,1601536414-9,[Judgement Breastplate],16958,item:16958::::::::60,PVP,0,PALADIN,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:13346::::::::60:::1::::|h[Robes of the Exalted]|h|r,,3,false,Plate,Chest,,Nefarian
ðëv-Grobbulus,9/30/20,22:14:03,1601536443-14,[Lok'amir il Romathis],19360,item:19360::::::::60,Upgrade,0,PALADIN,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:19890:2505:::::::60:::::::|h[Jin'do's Hexxer]|h|r,,2,false,One-Handed Maces,Main Hand,,Nefarian
Lorianne-Grobbulus,9/30/20,23:57:55,1601542675-43,[Lawbringer Gauntlets],16860,item:16860::::::::60,PVP,1,PALADIN,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:20264::::::::60:::::::|h[Peacekeeper Gauntlets]|h|r,,3,false,Plate,Hands,,Estaris-Grobbulus
Lorianne-Grobbulus,9/30/20,23:58:02,1601542682-45,[Lawbringer Legplates],16855,item:16855::::::::60,PVP,0,PALADIN,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:18875::::::::60:::::::|h[Salamander Scale Pants]|h|r,,3,false,Plate,Legs,,Estaris-Grobbulus
Bellafrost-Grobbulus,9/30/20,22:20:42,1601536842-29,[Netherwind Belt],16818,item:16818::::::::60,Best in Slot,2,MAGE,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:11662::::::::60:::1::::|h[Ban'thok Sash]|h|r,,1,false,Cloth,Waist,,Estaris-Grobbulus
Kahleia-Grobbulus,9/30/20,23:57:51,1601542671-42,[Robe of Volatile Power],19145,item:19145::::::::60,Upgrade,1,MAGE,Molten Core-40 Player,Gehennas,9,409,40,|cffa335ee|Hitem:16798::::::::60:::::::|h[Arcanist Robes]|h|r,,2,false,Cloth,Chest,,Estaris-Grobbulus
Kahleia-Grobbulus,9/30/20,23:58:32,1601542712-51,[Arcanist Boots],16800,item:16800::::::::60,Upgrade,1,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cff0070dd|Hitem:18102::::::::60:::1::::|h[Dragonrider Boots]|h|r,,2,false,Cloth,Feet,,Estaris-Grobbulus
