"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"64","Shagy","1254075$5.43%1.25m","-","63","75.84%","418.6",""
"60","Zoey","1109431$4.81%1.11m","-","72","53.11%","370.3",""
"59","Nymh","1004379$4.35%1.00m","65","71","55.38%","335.3",""
"50","Araxia","986967$4.28%987.0k","65","48","67.71%","329.5",""
"49","Fourty","946732$4.10%946.7k","64","52","69.22%","316.0",""
"55","Saeros","944066$4.09%944.1k","-","69","59.46%","315.1",""
"61","Hereticbabe","936315$4.06%936.3k","-","62","66.47%","312.6",""
"46","Effective","881145$3.82%881.1k","65","45","65.94%","294.1",""
"41","Parabella","865106$3.75%865.1k","-","50","66.20%","288.8",""
"60","Chocobos","835053$3.62%835.1k","-","79","65.68%","278.8",""
"52","Harper","833154$3.61%833.2k","-","64","52.67%","278.1",""
"29","Menswear","819963$3.55%820.0k","69","30","53.36%","273.7",""
"37","Ramzergutzin","801376$3.47%801.4k","-","35","75.69%","267.5",""
"33","Gatzby","757233$3.28%757.2k","-","44","48.26%","252.8",""
"53","Lockemup","730295$3.16%730.3k","-","62","53.40%","243.8",""
"67","Eranei","722200$3.13%722.2k","66","77","59.13%","241.1",""
"60","Ezpk","721592$3.13%721.6k","-","67","63.01%","240.9",""
"17","Parseval","714488$3.10%714.5k","66","25","51.70%","238.5",""
"53","Nemsy","705370$3.06%705.4k","-","64","50.49%","235.5",""
"65","Beltran","694520$3.01%694.5k","-","75","61.05%","231.8",""
"14","Mustacheman","681727$2.95%681.7k","-","21","64.32%","227.6",""
"54","Faith","678868$2.94%678.9k","-","62","64.41%","226.6",""
"65","Catt","665503$2.88%665.5k","-","62","65.21%","222.2",""
"54","Mgcraisin","645440$2.80%645.4k","-","51","59.19%","215.5",""
"52","Gutterz","597722$2.59%597.7k","-","47","73.42%","199.5",""
"19","Oznob","569218$2.47%569.2k","-","24","41.37%","190.0",""
"45","Chameleon","567788$2.46%567.8k","64","65","46.46%","189.5",""
"54","Sociables","474255$2.06%474.3k","-","64","81.02%","158.3",""
"32","Kolde","401043$1.74%401.0k","-","45","49.28%","133.9",""
"68","Omegatran","395899$1.72%395.9k","-","83","27.27%","132.2",""
"34","Eckz","70747$0.31%70.7k","65","30","7.67%","23.6",""
"48","Estaris","36941$0.16%36.9k","67","49","4.97%","12.3",""
"95","Alcade","13500$0.06%13.5k","67","95","0.00%","4.5",""
"-","Doomkon","4749$0.02%4.7k","-","-","0.64%","1.6",""
"91","Faeron","4667$0.02%4.7k","-","91","0.00%","1.6",""
"-","Mkomacine","3220$0.01%3.2k","67","-","0.00%","1.1",""
"99","Geldschulder","193$0.00%193.0","-","99","0.00%","0.1",""
