"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"84","Backstaber","1067004$5.66%1.07m","73","76","78.21%","437.3",""
"76","Mustacheman","1024620$5.44%1.02m","-","74","80.62%","419.9",""
"81","Korsen","1016907$5.39%1.02m","-","76","76.99%","416.8",""
"79","Harper","1007663$5.35%1.01m","-","72","73.00%","413.0",""
"72","Pteradactyl","953145$5.06%953.1k","70","65","73.04%","390.6",""
"70","Saeros","932108$4.94%932.1k","72","62","77.01%","382.0",""
"62","Hijax","912890$4.84%912.9k","64","79","79.38%","374.1",""
"57","Hereticbabe","893204$4.74%893.2k","-","51","78.06%","366.1",""
"68","Parabella","878439$4.66%878.4k","74","54","71.56%","360.0",""
"82","Chocobos","872560$4.63%872.6k","71","75","70.97%","357.6",""
"80","Zoey","829463$4.40%829.5k","69","78","54.49%","340.0",""
"80","Gutterz","815033$4.32%815.0k","-","81","87.04%","334.0",""
"59","Nymh","802974$4.26%803.0k","70","51","64.19%","329.1",""
"87","Ezpk","759724$4.03%759.7k","-","80","73.01%","311.4",""
"79","Menswear","733254$3.89%733.3k","-","71","59.35%","300.5",""
"69","Catto","716464$3.80%716.5k","-","69","78.66%","293.6",""
"40","Fourtywinks","676027$3.59%676.0k","58","87","75.36%","277.1",""
"93","Beltran","664225$3.52%664.2k","-","90","55.80%","272.2",""
"63","Gatzby","648690$3.44%648.7k","70","56","52.61%","265.9",""
"75","Ramzergutzin","645913$3.43%645.9k","-","68","76.94%","264.7",""
"68","Valearix","636987$3.38%637.0k","68","75","50.43%","261.1",""
"76","Sociables","613283$3.25%613.3k","-","82","86.38%","251.4",""
"37","Kolde","347442$1.84%347.4k","-","24","54.19%","142.4",""
"12","Faithfortis","220074$1.17%220.1k","63","16","54.90%","90.2",""
"96","Shagi","92286$0.49%92.3k","61","96","17.19%","37.8",""
"-","Aconites","27758$0.15%27.8k","69","-","1.34%","11.4",""
"50","Xinrokh","23240$0.12%23.2k","72","51","7.52%","9.5",""
"97","Doomkon","18636$0.10%18.6k","-","97","4.99%","7.6",""
"97","Faeron","8052$0.04%8.1k","-","97","1.62%","3.3",""
"93","Ismaela","5194$0.03%5.2k","68","93","2.00%","2.1",""
"83","Mkomacine","4359$0.02%4.4k","-","82","1.89%","1.8",""
"96","Retributus","1624$0.01%1.6k","66","96","0.00%","0.7",""
"-","Estaris","420$0.00%420.0","72","-","0.00%","0.2",""
"-","Jahlia","230$0.00%230.0","-","-","0.00%","0.1",""
