"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"89","Effective","1841613$5.57%1.84m","-","88","66.81%","427.0",""
"67","Pteradactyl","1701237$5.15%1.70m","-","68","65.41%","394.4",""
"79","Zoey","1610974$4.87%1.61m","-","81","65.24%","373.5",""
"73","Nymh","1572122$4.76%1.57m","73","73","63.25%","364.5",""
"69","Backstaber","1558465$4.72%1.56m","-","70","60.08%","361.3",""
"69","Menswear","1448035$4.38%1.45m","-","72","63.61%","335.7",""
"76","Scyter","1428629$4.32%1.43m","-","76","63.78%","331.2",""
"71","Moty","1329197$4.02%1.33m","-","72","52.45%","308.2",""
"71","Kayumi","1300553$3.94%1.30m","-","80","65.63%","301.5",""
"69","Hereticbabe","1293584$3.91%1.29m","-","71","56.02%","299.9",""
"67","Fourtywinks","1289113$3.90%1.29m","-","70","55.74%","298.9",""
"67","Korsen","1278344$3.87%1.28m","-","67","50.19%","296.4",""
"49","Sicc","1183747$3.58%1.18m","-","51","59.63%","274.5",""
"56","Ramzergutzin","1122967$3.40%1.12m","-","59","56.59%","260.4",""
"63","Quel","1109533$3.36%1.11m","-","61","65.67%","257.3",""
"85","Nemsy","1095135$3.31%1.10m","-","85","45.57%","253.9",""
"72","Shagy","1088510$3.29%1.09m","-","72","56.59%","252.4",""
"52","Gatzby","1053728$3.19%1.05m","-","57","56.58%","244.3",""
"77","Ezpk","1049095$3.17%1.05m","-","77","53.87%","243.2",""
"73","Chameleon","1013697$3.07%1.01m","-","71","53.67%","235.0",""
"54","Saeros","1013211$3.07%1.01m","-","53","55.26%","234.9",""
"86","Beltran","924098$2.80%924.1k","-","84","58.99%","214.3",""
"67","Catto","910760$2.76%910.8k","-","69","50.82%","211.2",""
"57","Valearix","909604$2.75%909.6k","-","61","44.03%","210.9",""
"45","Parabella","761107$2.30%761.1k","-","47","40.73%","176.5",""
"59","Lahk","735864$2.23%735.9k","-","60","31.98%","170.6",""
"59","Faith","696329$2.11%696.3k","-","53","49.86%","161.4",""
"66","Colde","535798$1.62%535.8k","-","67","48.36%","124.2",""
"92","Xinrokh","45278$0.14%45.3k","-","92","11.49%","10.5",""
"70","Mkomacine","31317$0.09%31.3k","-","70","5.13%","7.3",""
"86","Doomkon","19680$0.06%19.7k","-","86","4.69%","4.6",""
"68","Estaris","17893$0.05%17.9k","-","67","3.78%","4.1",""
"68","Faeron","17483$0.05%17.5k","-","67","4.36%","4.1",""
"83","Ismaela","15538$0.05%15.5k","-","84","4.28%","3.6",""
"84","Retributus","12942$0.04%12.9k","-","85","2.34%","3.0",""
"54","Jahlia","9981$0.03%10.0k","-","55","2.36%","2.3",""
"64","Ðëv","8710$0.03%8.7k","66","68","2.15%","2.0",""
"73","Aconites","7161$0.02%7.2k","-","73","1.53%","1.7",""
"41","Tate","5307$0.02%5.3k","-","42","2.01%","1.2",""
